time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T08:58:34.938Z,38.0402,38.2553,11.354,4.5,mb,73,98,1.2,0.57,us,us6000jlpx,2023-04-15T21:39:36.040Z,"2 km NE of Çelikhan, Turkey",earthquake,5.84,3.475,0.08,46,reviewed,us,us
2023-02-06T08:52:37.361Z,37.4633,37.2102,10,4.8,mb,82,57,0.291,0.81,us,us6000jlpv,2023-04-15T21:39:36.040Z,"Central Turkey",earthquake,2.56,1.621,0.069,65,reviewed,us,us
2023-02-06T08:01:47.818Z,36.6219,36.4225,10,4.5,mb,63,55,0.836,0.68,us,us6000jlpp,2023-04-15T21:39:35.040Z,"14 km NNE of K?r?khan, Turkey",earthquake,5.61,1.869,0.094,33,reviewed,us,us
2023-02-06T07:41:14.046Z,37.8718,38.0812,10,4.6,mb,38,100,0.984,0.43,us,us6000jlpi,2023-04-15T21:39:35.040Z,"eastern Turkey",earthquake,2.15,1.907,0.114,23,reviewed,us,us
2023-02-06T07:29:40.592Z,35.6445,35.5034,10,4.5,mb,46,114,2.047,1.1,us,us6000jnsf,2023-04-15T21:40:01.040Z,"28 km WNW of Latakia, Syria",earthquake,7.91,1.931,0.128,18,reviewed,us,us
2023-02-06T07:08:32.392Z,36.7139,36.4459,11.457,4.5,mb,107,82,0.764,0.6,us,us6000jlpb,2023-04-15T21:39:35.040Z,"11 km SW of Hassa, Turkey",earthquake,3.61,4.291,0.076,51,reviewed,us,us
2023-02-06T06:54:57.430Z,37.6427,37.394,10,4.8,mwr,105,56,0.492,0.54,us,us6000jlp9,2023-04-15T21:39:35.040Z,"14 km SE of Ça?layancerit, Turkey",earthquake,5.42,1.797,0.063,24,reviewed,us,us
2023-02-06T06:27:52.742Z,38.0564,38.2173,10,4.5,mb,26,80,0.779,0.62,us,us6000jnwh,2023-04-15T21:40:05.040Z,"3 km NNW of Çelikhan, Turkey",earthquake,4.05,1.587,0.241,5,reviewed,us,us
2023-02-06T06:26:28.168Z,37.3961,37.1506,10,4.6,mb,71,107,0.229,0.45,us,us6000jlsg,2023-04-15T21:39:38.040Z,"16 km SW of Pazarc?k, Turkey",earthquake,5.02,1.902,0.081,45,reviewed,us,us
2023-02-06T05:55:49.697Z,37.9201,38.4457,10,4.5,mb,75,93,1.671,0.35,us,us6000jlp1,2023-04-15T21:39:35.040Z,"19 km SW of Sincik, Turkey",earthquake,2.15,1.87,0.073,55,reviewed,us,us
2023-02-06T05:43:49.888Z,36.2606,36.2043,10,4.6,mb,73,57,1.217,0.69,us,us6000jns1,2023-04-15T21:40:00.040Z,"3 km S of Büyük Dalyan, Turkey",earthquake,2.78,1.869,0.09,37,reviewed,us,us
2023-02-06T05:40:38.044Z,37.9116,38.2366,19.278,4.5,mb,57,75,0.66,0.47,us,us6000jnss,2023-04-15T21:40:01.040Z,"12 km S of Çelikhan, Turkey",earthquake,4.44,1.492,0.096,34,reviewed,us,us
2023-02-06T05:36:33.636Z,36.2975,36.2085,13.032,4.6,mb,93,54,1.187,0.79,us,us6000jlp0,2023-04-15T21:39:35.040Z,"1 km N of Büyük Dalyan, Turkey",earthquake,5.33,4.53,0.067,66,reviewed,us,us
2023-02-06T05:33:10.998Z,38.0957,38.2361,15.345,4.6,mb,73,97,0.801,0.65,us,us6000jns2,2023-04-15T21:40:00.040Z,"7 km N of Çelikhan, Turkey",earthquake,4.59,4.503,0.084,42,reviewed,us,us
2023-02-06T05:01:50.591Z,37.7898,37.8568,16.551,4.6,mb,98,55,0.803,0.55,us,us6000jlnv,2023-04-15T21:39:35.040Z,"5 km W of Tut, Turkey",earthquake,5.41,3.182,0.068,64,reviewed,us,us
2023-02-06T04:56:05.491Z,37.4609,37.1603,16.174,4.5,mb,84,69,0.291,0.64,us,us6000jlnu,2023-04-15T21:39:35.040Z,"12 km WSW of Pazarc?k, Turkey",earthquake,6.53,4.698,0.074,53,reviewed,us,us
2023-02-06T04:47:57.170Z,36.7176,36.4733,10,4.5,mb,75,89,0.744,0.62,us,us6000jlns,2023-04-15T21:39:35.040Z,"9 km SSW of Hassa, Turkey",earthquake,4.91,1.825,0.085,40,reviewed,us,us
2023-02-06T04:18:46.986Z,38.1845,38.5342,16.416,5,mb,145,36,0.776,0.58,us,us6000jlnf,2023-04-15T21:39:34.040Z,"17 km NNW of Sincik, Turkey",earthquake,5.5,3.967,0.053,112,reviewed,us,us
